City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Marsabit,KE,2.3284,37.9899,76.3,36,95,9.17,overcast clouds
314,Soyo,AO,-6.1349,12.3689,79.99,68,95,8.01,overcast clouds
315,Sao Filipe,CV,14.8961,-24.4956,74.82,68,0,7.74,clear sky
316,Makueni,KE,-1.8041,37.6203,69.75,56,99,4.18,overcast clouds
317,Kadoma,JP,34.7333,135.5833,40.98,62,9,12.57,clear sky
318,Malanje,AO,-9.5402,16.341,67.57,91,88,3.74,light rain
319,Chicama,PE,-7.8447,-79.1469,66.74,54,45,9.95,scattered clouds
320,Hirara,JP,24.8,125.2833,63.27,73,100,26.53,overcast clouds
321,Nova Olimpia,BR,-14.7972,-57.2881,89.85,54,81,3.74,broken clouds
322,Humberto De Campos,BR,-2.5983,-43.4611,84.36,77,94,7.65,light rain
323,Bintulu,MY,3.1667,113.0333,77.41,94,20,3.0,moderate rain
324,Gaziantep,TR,37.0594,37.3825,40.66,87,77,4.61,broken clouds
325,San Quintin,MX,30.4833,-115.95,57.76,24,4,1.92,clear sky
326,Bhavnagar,IN,21.7667,72.15,67.68,38,0,11.14,clear sky
327,Nishihara,JP,26.1842,127.7558,60.08,80,100,10.36,overcast clouds
328,Quelimane,MZ,-17.8786,36.8883,87.75,62,75,10.36,broken clouds
329,Rio Gallegos,AR,-51.6226,-69.2181,51.85,50,20,8.05,few clouds
330,Solnechnyy,RU,50.7214,136.6319,0.01,98,100,1.45,overcast clouds
331,Rochegda,RU,62.8,43.25,-9.53,100,86,3.47,overcast clouds
332,Vestmannaeyjar,IS,63.4427,-20.2734,29.39,80,20,11.5,few clouds
333,Qesarya,IL,32.5189,34.9046,55.99,72,90,14.79,overcast clouds
334,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,102.63,30,53,2.8,broken clouds
335,Calbuco,CL,-41.768,-73.1273,63.61,72,59,9.15,broken clouds
336,Isangel,VU,-19.55,169.2667,78.15,89,100,8.63,light rain
337,Kimbe,PG,-5.5502,150.1429,76.75,91,79,3.78,light rain
338,Zhuhai,CN,22.2769,113.5678,57.06,71,0,17.27,clear sky
339,Barcelos,PT,41.5388,-8.6151,55.85,70,98,7.49,overcast clouds
340,Santa Luzia,BR,-19.7697,-43.8514,85.1,63,75,4.61,broken clouds
341,Chumikan,RU,54.7183,135.315,-4.85,79,96,11.41,overcast clouds
342,Healesville,AU,-37.65,145.5167,61.0,96,4,1.83,clear sky
343,Salinopolis,BR,-0.6136,-47.3561,82.62,74,96,9.57,heavy intensity rain
344,Tab,HU,46.7314,18.032,49.48,77,47,0.96,scattered clouds
